btc,etc,xpr,ltc,eth
8353.70 ,8.41 ,0.21950 ,53.239 ,160.430 
8447.10 ,8.59 ,0.22210 ,54.401 ,162.580 
8403.50 ,8.43 ,0.22600 ,54.540 ,162.890 
8663.90 ,9.32 ,0.23720 ,58.328 ,168.070 
8734.10 ,8.89 ,0.23720 ,57.545 ,169.450 
8638.20 ,8.68 ,0.23300 ,57.214 ,166.850 
8694.00 ,8.52 ,0.23570 ,57.609 ,166.970 
8891.50 ,8.32 ,0.24350 ,59.367 ,174.190 
8875.40 ,9.50 ,0.23900 ,61.056 ,169.920 
8720.60 ,8.43 ,0.22920 ,57.599 ,164.250 
8807.70 ,7.97 ,0.23370 ,58.149 ,166.400 
8775.60 ,6.81 ,0.23520 ,58.421 ,166.160 
8094.54 ,5.48 ,0.21140 ,49.604 ,143.510 
8174.70 ,5.57 ,0.21530 ,51.440 ,146.460 
8013.80 ,5.57 ,0.21130 ,49.349 ,142.530 
8176.30 ,5.33 ,0.21280 ,49.049 ,144.840 
7817.45 ,5.18 ,0.20370 ,44.799 ,137.780 
